4,208,49,301,173,253
46,732,305,781,460,825
30,605,412,1568,652,1547
2,13,10,72,48,132
40,382,103,358,220,471
4,57,24,120,51,55
29,398,247,508,292,465
15,332,108,369,205,547
11,425,97,275,138,420
21,353,132,394,232,615
58,1603,637,2444,1042,2767
42,1305,517,1964,893,2188
